experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
1,T10T6F0F0T1T50T6F0T13F0F0T2F0T41T11F0,98,1_left,0.12,0.06,0,0,0.01,0.72,0.08,1,0,8
1,T10T6F0F0T1T50T6F0T13F0F0T2F0T41T11F0,98,2_right,0.23,0,0,0.03,0,0.6,0.15,0.84,0,5
1,T10T6F0F0T1T50T6F0T13F0F0T2F0T41T11F0,98,3_none,0,0,0,0,0,0,0,0,1,67
1,T12T5T7T7T1T11F0F0T7T4T5T2F0T4T3F0,84,1_left,0.27,0.09,0.13,0.18,0.03,0.29,0,-0.41,0,3
1,T12T5T7T7T1T11F0F0T7T4T5T2F0T4T3F0,84,2_right,0.34,0.13,0.14,0.11,0,0.15,0.13,-1,0,13
1,T12T5T7T7T1T11F0F0T7T4T5T2F0T4T3F0,84,3_none,0,0,0,0,0,0,0,0,1,64
1,T13T3F0T10T26T9T2F0T13F0T22T6T21T1T6F0,70,1_left,0.19,0.03,0,0.17,0.43,0.15,0.03,0.56,0,2
1,T13T3F0T10T26T9T2F0T13F0T22T6T21T1T6F0,70,2_right,0.24,0,0.24,0.1,0.31,0.01,0.09,0.77,0,2
1,T13T3F0T10T26T9T2F0T13F0T22T6T21T1T6F0,70,3_none,0,0,0,0,0,0,0,0,1,76
1,T14T2F0F0T1T11T1F0T9T4T3T1T3T9T4F0,118,1_left,0.46,0.06,0,0,0.04,0.4,0.04,-0.85,0,3
1,T14T2F0F0T1T11T1F0T9T4T3T1T3T9T4F0,118,2_right,0.34,0.1,0.06,0.03,0.08,0.27,0.13,-0.67,0,4
1,T14T2F0F0T1T11T1F0T9T4T3T1T3T9T4F0,118,3_none,0,0,0,0,0,0,0,0,1,73
1,T15T12F0T42F0T6F0F0T4T12T14T33T3T1T9F0,77,1_left,0.18,0.12,0,0.61,0,0.09,0,1,0,2
1,T15T12F0T42F0T6F0F0T4T12T14T33T3T1T9F0,77,2_right,0.07,0.12,0.14,0.49,0.04,0.02,0.12,0.94,0,4
1,T15T12F0T42F0T6F0F0T4T12T14T33T3T1T9F0,77,3_none,0,0,0,0,0,0,0,0,1,74
1,T15T1T23T10F0T22F0F0T17T12T14T2T4T21T7F0,108,1_left,0.21,0.01,0.26,0.16,0,0.36,0,0.64,0,3
1,T15T1T23T10F0T22F0F0T17T12T14T2T4T21T7F0,108,2_right,0.28,0.12,0.14,0.03,0.05,0.29,0.09,1,0,5
1,T15T1T23T10F0T22F0F0T17T12T14T2T4T21T7F0,108,3_none,0,0,0,0,0,0,0,0,1,72
1,T1T7T0F0F0T9T9F0F0T8F0T1T6T9T2F0,64,1_left,0.03,0.22,0.01,0,0,0.4,0.35,-1,0,2
1,T1T7T0F0F0T9T9F0F0T8F0T1T6T9T2F0,64,2_right,0,0.25,0,0.05,0.25,0.36,0.09,-0.99,0,1
1,T1T7T0F0F0T9T9F0F0T8F0T1T6T9T2F0,64,3_none,0,0,0,0,0,0,0,0,1,77
1,T20F0T13F0F0F0T27F0T17T5T20T2T3T4F0F0,100,1_left,0.33,0,0.18,0,0,0,0.49,0.23,0,10
